n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
299,-1.0033444816053512,-2.6755852842809364,0.33444816053511706,0.2452,falcon,ultrachat,arc_challenge,all_eligible,ssm_plus_mlp,1.0,False,False
164,2.4390243902439024,-1.2195121951219512,6.097560975609756,0.247,falcon,codealpaca,humaneval,attention_only,attention_plus_mlp,1.0,False,False
256,-2.734375,-7.421875,1.5625,0.2474,falcon,gsm8k_train,gsm8k,mlp_only,ssm_plus_mlp,1.0,False,False
299,2.341137123745819,-1.3377926421404682,6.354515050167224,0.2492,qwen3,codealpaca,arc_challenge,mlp_only,gdn_plus_mlp,1.0,False,False
512,1.3671875,-0.78125,3.515625,0.251,falcon,codealpaca,hellaswag,ssm_only,mlp_only,1.0,False,False
256,3.125,-1.953125,8.203125,0.2512,falcon,gsm8k_train,gsm8k,ssm_only,attention_plus_mlp,1.0,False,False
512,1.3671875,-0.78125,3.515625,0.2514,falcon,gsm8k_train,mmlu,ssm_only,attention_plus_mlp,1.0,False,False
256,-3.515625,-8.984375,1.953125,0.2514,qwen3,ultrachat,gsm8k,gdn_only,mlp_only,1.0,False,False
299,-1.3377926421404682,-3.3444816053511706,0.6688963210702341,0.2524,falcon,codealpaca,arc_challenge,attention_plus_mlp,__base__,1.0,False,False
512,-1.5625,-4.1015625,0.9765625,0.2546,qwen3,gsm8k_train,mmlu,all_layers,gdn_only,1.0,False,False
164,2.4390243902439024,-1.2195121951219512,6.097560975609756,0.255,falcon,codealpaca,humaneval,ssm_only,attention_plus_mlp,1.0,False,False
128,-7.03125,-18.75,4.6875,0.2604,qwen3,ultrachat,gsm8k,all_layers,__base__,1.0,False,False
256,-3.515625,-9.375,2.34375,0.2614,qwen3,ultrachat,gsm8k,all_layers,mlp_only,1.0,False,False
512,-1.953125,-5.2734375,1.176757812499929,0.2622,qwen3,codealpaca,mmlu,all_layers,softmax_only,1.0,False,False
